Paranoid_type_pours_out_a_lot,Symptoms,Corresponds_to,manic_arousal,Signs,,
Olanzapine,Medication,treat,Schizophrenia,Disease,,
Rosuda,Medication,treat,Schizophrenia,Disease,,
The_sky_is_clear,Medication,treat,Schizophrenia,Disease,,
Estazolam,Medication,treat,Schizophrenia,Disease,,
Persecutory_delusions,Symptoms,diagnosis,Schizophrenia,Disease,,
Sensitivity,Symptoms,diagnosis,Schizophrenia,Disease,,
Paranoia,Symptoms,diagnosis,Schizophrenia,Disease,,
Sensitive_and_paranoid,Symptoms,diagnosis,Schizophrenia,Disease,,
Agitation,Symptoms,diagnosis,Schizophrenia,Disease,,
Feel_like_someone_is_watching_you,Symptoms,diagnosis,Schizophrenia,Disease,,
Feeling_like_someone_is_dizzy,Symptoms,diagnosis,Schizophrenia,Disease,,
Feel_like_someone_is_beating_you,Symptoms,diagnosis,Schizophrenia,Disease,,
The_spirit_can,Symptoms,diagnosis,Schizophrenia,Disease,,
Eat_Naco,Symptoms,diagnosis,Schizophrenia,Disease,,
Poor_sleep,Symptoms,diagnosis,Schizophrenia,Disease,,
Normal_defecation,Symptoms,diagnosis,Schizophrenia,Disease,,
Hear_sounds_out_of_thin_air,Symptoms,diagnosis,Schizophrenia,Disease,,
Persecutory_delusions,Symptoms,diagnosis,Schizophrenia,Disease,,
Shoulder_joint_pain,Symptoms,diagnosis,Schizophrenia,Disease,,
knee_pain,Symptoms,diagnosis,Schizophrenia,Disease,,
migratory_abdominal_pain,Symptoms,diagnosis,Schizophrenia,Disease,,
Clear_consciousness,Symptoms,diagnosis,Schizophrenia,Disease,,
Correct_orientation,Symptoms,diagnosis,Schizophrenia,Disease,,
contact_passive,Symptoms,diagnosis,Schizophrenia,Disease,,
Answers_to_the_point,Symptoms,diagnosis,Schizophrenia,Disease,,
Don’t_want_to_expose_your_true_inner_experience,Symptoms,diagnosis,Schizophrenia,Disease,,
Irritability,Symptoms,diagnosis,Schizophrenia,Disease,,
contact_passive,Symptoms,diagnosis,Schizophrenia,Disease,,
Delusions_of_persecution,Symptoms,diagnosis,Schizophrenia,Disease,,
suspicious_vision,Symptoms,diagnosis,Schizophrenia,Disease,,
Suspicious_hallucination,Symptoms,diagnosis,Schizophrenia,Disease,,
Suspicious_auditory_hallucinations,Symptoms,diagnosis,Schizophrenia,Disease,,
Do_not_want_to_expose_ideas,Symptoms,diagnosis,Schizophrenia,Disease,,
Extremely_vigilant,Symptoms,diagnosis,Schizophrenia,Disease,,
hidden_thoughts,Symptoms,diagnosis,Schizophrenia,Disease,,
Delusions_of_persecution,Symptoms,main_diagnosis,Schizophrenia,Disease,,
suspicious_vision,Symptoms,main_diagnosis,Schizophrenia,Disease,,
Suspicious_hallucination,Symptoms,main_diagnosis,Schizophrenia,Disease,,
Suspicious_auditory_hallucinations,Symptoms,main_diagnosis,Schizophrenia,Disease,,
Paranoid_obsession,Symptoms,Differential_diagnosis,partial_mental_disorder,Disease,,
Paranoid_type_pours_out_a_lot,Symptoms,Differential_diagnosis,partial_mental_disorder,Disease,,
Paranoid_obsession,Symptoms,Differential_diagnosis,affective_disorder,Disease,,
Paranoid_type_pours_out_a_lot,Symptoms,Differential_diagnosis,affective_disorder,Disease,,
Paranoid_obsession,Symptoms,Differential_diagnosis,organic_mental_disorder,Disease,,
Paranoid_type_pours_out_a_lot,Symptoms,Differential_diagnosis,organic_mental_disorder,Disease,,
feel_pain,mental_anguish,diagnosis,Schizophrenia,Disease,,
No_significant_impairment_in_daily_functioning,daily_functions,diagnosis,Schizophrenia,Disease,,
Delusions_of_persecution,Signs,diagnosis,Schizophrenia,Disease,,
Sensory_enhancement,Signs,diagnosis,Schizophrenia,Disease,,
Delusions_of_persecution,Signs,diagnosis,Schizophrenia,Disease,,
Delusions_of_persecution,Signs,diagnosis,Schizophrenia,Disease,,
Anxiety,Signs,diagnosis,Schizophrenia,Disease,,
psychotic_hallucinations,Signs,diagnosis,Schizophrenia,Disease,,
phantom_touch,Signs,diagnosis,Schizophrenia,Disease,,
phantom_touch,Signs,diagnosis,Schizophrenia,Disease,,
mental_state_disorder,Signs,diagnosis,Schizophrenia,Disease,,
dysphagia,Signs,diagnosis,Schizophrenia,Disease,,
sleep_disorder,Signs,diagnosis,Schizophrenia,Disease,,
Two_defecation_disorders,Signs,diagnosis,Schizophrenia,Disease,,
Auditory_hallucinations,Signs,diagnosis,Schizophrenia,Disease,,
Delusions_of_persecution,Signs,diagnosis,Schizophrenia,Disease,,
somatic_symptoms,Signs,diagnosis,Schizophrenia,Disease,,
somatic_symptoms,Signs,diagnosis,Schizophrenia,Disease,,
somatic_symptoms,Signs,diagnosis,Schizophrenia,Disease,,
disorder_of_consciousness,Signs,diagnosis,Schizophrenia,Disease,,
Disorientation,Signs,diagnosis,Schizophrenia,Disease,,
access_barriers,Signs,diagnosis,Schizophrenia,Disease,,
Answer_barrier,Signs,diagnosis,Schizophrenia,Disease,,
barriers_to_real_experience,Signs,diagnosis,Schizophrenia,Disease,,
Irritability,Signs,diagnosis,Schizophrenia,Disease,,
access_barriers,Signs,diagnosis,Schizophrenia,Disease,,
Delusions_of_persecution,Signs,diagnosis,Schizophrenia,Disease,,
Vision,Signs,diagnosis,Schizophrenia,Disease,,
phantom_touch,Signs,diagnosis,Schizophrenia,Disease,,
Auditory_hallucinations,Signs,diagnosis,Schizophrenia,Disease,,
barriers_to_real_experience,Signs,diagnosis,Schizophrenia,Disease,,
Sensory_enhancement,Signs,diagnosis,Schizophrenia,Disease,,
barriers_to_real_experience,Signs,diagnosis,Schizophrenia,Disease,,
Delusions_of_persecution,Signs,main_diagnosis,Schizophrenia,Disease,,
Vision,Signs,main_diagnosis,Schizophrenia,Disease,,
phantom_touch,Signs,main_diagnosis,Schizophrenia,Disease,,
Auditory_hallucinations,Signs,main_diagnosis,Schizophrenia,Disease,,
manic_arousal,Signs,Differential_diagnosis,partial_mental_disorder,Disease,,
manic_arousal,Signs,Differential_diagnosis,partial_mental_disorder,Disease,,
manic_arousal,Signs,Differential_diagnosis,affective_disorder,Disease,,
manic_arousal,Signs,Differential_diagnosis,affective_disorder,Disease,,
manic_arousal,Signs,Differential_diagnosis,organic_mental_disorder,Disease,,
manic_arousal,Signs,Differential_diagnosis,organic_mental_disorder,Disease,,
101031919,Patient,Illness,Recurrent_depressive_disorder,Disease,,
Bad_mood,Symptoms,Corresponds_to,Depression,Signs,,
Bad_mood,Symptoms,Corresponds_to,Depression,Signs,,
"I_don’t_want_to_talk_or_do_anything_on_weekdays,_and_I_can’t_watch_my_favorite_TV_programs.",Symptoms,Corresponds_to,anhedonia,Signs,,
Agitation,Symptoms,Corresponds_to,irritable,Signs,,
Feeling_that_my_brain_is_running_slower_and_my_reactions_when_communicating_with_others_are_slower.,Symptoms,Corresponds_to,slow_thinking,Signs,,
Decline_of_memory,Symptoms,Corresponds_to,Memory_loss,Signs,,
Cant_concentrate,Symptoms,Corresponds_to,Attention_is_distracted,Signs,,
"Occasionally,_I_have_thoughts_of_committing_suicide,_but_I_have_not_yet_acted_on_them.",Symptoms,Corresponds_to,suicide,Signs,,
"Poor_night_sleep,_difficulty_falling_asleep_at_night,_not_sleeping_deeply,_and_waking_up_early",Symptoms,Corresponds_to,sleep_disorder,Signs,,
Loss_of_interest_and_anhedonia,Symptoms,Corresponds_to,anhedonia,Signs,,
Clear_consciousness,Symptoms,Corresponds_to,disorder_of_consciousness,Signs,,
Correct_orientation,Symptoms,Corresponds_to,Disorientation,Signs,,
contact_passive,Symptoms,Corresponds_to,Barriers_to_access,Signs,,
Depression,Symptoms,Corresponds_to,Depression,Signs,,
"Decreased_interest,_anhedonia",Symptoms,Corresponds_to,anhedonia,Signs,,
"Anxiety,_irritability",Symptoms,Corresponds_to,Anxiety,Signs,,
Dizziness,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
contact_passive,Symptoms,Corresponds_to,Barriers_to_access,Signs,,
Depression,Symptoms,Corresponds_to,Depression,Signs,,
"Decreased_interest,_anhedonia",Symptoms,Corresponds_to,anhedonia,Signs,,
"Anxiety,_irritability",Symptoms,Corresponds_to,Anxiety,Signs,,
Dizziness,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
"Combined_with_medical_history,_clinical_manifestations_and_auxiliary_examinations",Symptoms,Corresponds_to,physical_disorder,Signs,,
Effexor,Medication,treat,Recurrent_depressive_disorder,Disease,,
Bad_mood,Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
Bad_mood,Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
"I_don’t_want_to_talk_or_do_anything_on_weekdays,_and_I_can’t_watch_my_favorite_TV_programs.",Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
Agitation,Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
Feeling_that_my_brain_is_running_slower_and_my_reactions_when_communicating_with_others_are_slower.,Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
Decline_of_memory,Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
Cant_concentrate,Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
"Occasionally,_I_have_thoughts_of_committing_suicide,_but_I_have_not_yet_acted_on_them.",Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
"Poor_night_sleep,_difficulty_falling_asleep_at_night,_not_sleeping_deeply,_and_waking_up_early",Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
Loss_of_interest_and_anhedonia,Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
Clear_consciousness,Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
Correct_orientation,Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
contact_passive,Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
Depression,Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
"Decreased_interest,_anhedonia",Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
"Anxiety,_irritability",Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
Dizziness,Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
contact_passive,Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
Depression,Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
"Decreased_interest,_anhedonia",Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
"Anxiety,_irritability",Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
Dizziness,Symptoms,diagnosis,Recurrent_depressive_disorder,Disease,,
"Combined_with_medical_history,_clinical_manifestations_and_auxiliary_examinations",Symptoms,main_diagnosis,Recurrent_depressive_disorder,Disease,,
causing_great_pain_to_patients,mental_anguish,diagnosis,Recurrent_depressive_disorder,Disease,,
Impact_on_patients_social_functioning,social_function,diagnosis,Recurrent_depressive_disorder,Disease,,
Depression,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
Depression,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
anhedonia,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
irritable,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
slow_thinking,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
memory_loss,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
Attention_is_distracted,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
suicide,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
sleep_disorder,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
anhedonia,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
disorder_of_consciousness,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
Disorientation,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
access_barriers,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
Depression,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
anhedonia,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
Anxiety,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
somatic_symptoms,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
access_barriers,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
Depression,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
anhedonia,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
Anxiety,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
somatic_symptoms,Signs,diagnosis,Recurrent_depressive_disorder,Disease,,
101051500,Patient,Illness,depression,Disease,,
high_pressure,social_psychology,cause,depression,Disease,,
Bad_mood,Symptoms,Corresponds_to,Depression,Signs,,
Poor_sleep,Symptoms,Corresponds_to,sleep_disorder,Signs,,
I_feel_bad_and_want_to_cry_when_I_feel_bad.,Symptoms,Corresponds_to,Depression,Signs,,
upset,Symptoms,Corresponds_to,Anxiety,Signs,,
"irritable,_impatient",Symptoms,Corresponds_to,Irritability,Signs,,
I_had_poor_sleep_at_night._I_lay_down_in_bed_and_couldnt_fall_asleep_for_a_long_time._I_gradually_fell_asleep_at_1_a.m._and_woke_up_around_3_a.m.,Symptoms,Corresponds_to,sleep_disorder,Signs,,
Not_interested_in_doing_things,Symptoms,Corresponds_to,anhedonia,Signs,,
Reduced_appetite,Symptoms,Corresponds_to,dysphagia,Signs,,
"Abdominal_distension_and_discomfort_after_eating,_and_head_tightness_when_feeling_uncomfortable",Symptoms,Corresponds_to,somatic_symptoms,Signs,,
Feeling_upset_and_impatient_when_talking_to_others,Symptoms,Corresponds_to,irritable,Signs,,
Feeling_bloated_after_eating,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
Not_interested,Symptoms,Corresponds_to,anhedonia,Signs,,
Reduced_appetite,Symptoms,Corresponds_to,dysphagia,Signs,,
Very_bad_mood,Symptoms,Corresponds_to,Depression,Signs,,
Poor_night_sleep,Symptoms,Corresponds_to,sleep_disorder,Signs,,
Feeling_upset_and_impatient_when_talking_to_others,Symptoms,Corresponds_to,irritable,Signs,,
Feeling_bloated_after_eating,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
Not_interested,Symptoms,Corresponds_to,anhedonia,Signs,,
Reduced_appetite,Symptoms,Corresponds_to,dysphagia,Signs,,
Very_bad_mood,Symptoms,Corresponds_to,Depression,Signs,,
Poor_night_sleep,Symptoms,Corresponds_to,sleep_disorder,Signs,,
Feeling_upset_and_impatient_when_talking_to_others,Symptoms,Corresponds_to,irritable,Signs,,
Feeling_bloated_after_eating,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
Not_interested,Symptoms,Corresponds_to,anhedonia,Signs,,
Reduced_appetite,Symptoms,Corresponds_to,dysphagia,Signs,,
Very_bad_mood,Symptoms,Corresponds_to,Depression,Signs,,
Poor_night_sleep,Symptoms,Corresponds_to,sleep_disorder,Signs,,
Feeling_upset_and_impatient_when_talking_to_others,Symptoms,Corresponds_to,irritable,Signs,,
Feeling_bloated_after_eating,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
Not_interested,Symptoms,Corresponds_to,anhedonia,Signs,,
Reduced_appetite,Symptoms,Corresponds_to,dysphagia,Signs,,
Very_bad_mood,Symptoms,Corresponds_to,Depression,Signs,,
Poor_night_sleep,Symptoms,Corresponds_to,sleep_disorder,Signs,,
Bad_mood,Symptoms,diagnosis,depression,Disease,,
Poor_sleep,Symptoms,diagnosis,depression,Disease,,
I_feel_bad_and_want_to_cry_when_I_feel_bad.,Symptoms,diagnosis,depression,Disease,,
upset,Symptoms,diagnosis,depression,Disease,,
"irritable,_impatient",Symptoms,diagnosis,depression,Disease,,
I_had_poor_sleep_at_night._I_lay_down_in_bed_and_couldnt_fall_asleep_for_a_long_time._I_gradually_fell_asleep_at_1_a.m._and_woke_up_around_3_a.m.,Symptoms,diagnosis,depression,Disease,,
Not_interested_in_doing_things,Symptoms,diagnosis,depression,Disease,,
Reduced_appetite,Symptoms,diagnosis,depression,Disease,,
"Abdominal_distension_and_discomfort_after_eating,_and_head_tightness_when_feeling_uncomfortable",Symptoms,diagnosis,depression,Disease,,
Feeling_upset_and_impatient_when_talking_to_others,Symptoms,diagnosis,depression,Disease,,
Feeling_bloated_after_eating,Symptoms,diagnosis,depression,Disease,,
Not_interested,Symptoms,diagnosis,depression,Disease,,
Reduced_appetite,Symptoms,diagnosis,depression,Disease,,
Very_bad_mood,Symptoms,diagnosis,depression,Disease,,
Poor_night_sleep,Symptoms,diagnosis,depression,Disease,,
Feeling_upset_and_impatient_when_talking_to_others,Symptoms,diagnosis,depression,Disease,,
Feeling_bloated_after_eating,Symptoms,diagnosis,depression,Disease,,
Not_interested,Symptoms,diagnosis,depression,Disease,,
Reduced_appetite,Symptoms,diagnosis,depression,Disease,,
Very_bad_mood,Symptoms,diagnosis,depression,Disease,,
Poor_night_sleep,Symptoms,diagnosis,depression,Disease,,
Feeling_upset_and_impatient_when_talking_to_others,Symptoms,diagnosis,depression,Disease,,
Feeling_bloated_after_eating,Symptoms,diagnosis,depression,Disease,,
Not_interested,Symptoms,diagnosis,depression,Disease,,
Reduced_appetite,Symptoms,diagnosis,depression,Disease,,
Very_bad_mood,Symptoms,diagnosis,depression,Disease,,
Poor_night_sleep,Symptoms,diagnosis,depression,Disease,,
Feeling_upset_and_impatient_when_talking_to_others,Symptoms,main_diagnosis,depression,Disease,,
Feeling_bloated_after_eating,Symptoms,main_diagnosis,depression,Disease,,
Not_interested,Symptoms,main_diagnosis,depression,Disease,,
Reduced_appetite,Symptoms,main_diagnosis,depression,Disease,,
Very_bad_mood,Symptoms,main_diagnosis,depression,Disease,,
Poor_night_sleep,Symptoms,main_diagnosis,depression,Disease,,
Depression,Signs,diagnosis,depression,Disease,,
sleep_disorder,Signs,diagnosis,depression,Disease,,
Depression,Signs,diagnosis,depression,Disease,,
Anxiety,Signs,diagnosis,depression,Disease,,
Irritability,Signs,diagnosis,depression,Disease,,
sleep_disorder,Signs,diagnosis,depression,Disease,,
anhedonia,Signs,diagnosis,depression,Disease,,
dysphagia,Signs,diagnosis,depression,Disease,,
somatic_symptoms,Signs,diagnosis,depression,Disease,,
irritable,Signs,diagnosis,depression,Disease,,
somatic_symptoms,Signs,diagnosis,depression,Disease,,
anhedonia,Signs,diagnosis,depression,Disease,,
dysphagia,Signs,diagnosis,depression,Disease,,
Depression,Signs,diagnosis,depression,Disease,,
sleep_disorder,Signs,diagnosis,depression,Disease,,
irritable,Signs,diagnosis,depression,Disease,,
somatic_symptoms,Signs,diagnosis,depression,Disease,,
anhedonia,Signs,diagnosis,depression,Disease,,
dysphagia,Signs,diagnosis,depression,Disease,,
Depression,Signs,diagnosis,depression,Disease,,
sleep_disorder,Signs,diagnosis,depression,Disease,,
irritable,Signs,diagnosis,depression,Disease,,
somatic_symptoms,Signs,diagnosis,depression,Disease,,
anhedonia,Signs,diagnosis,depression,Disease,,
dysphagia,Signs,diagnosis,depression,Disease,,
Depression,Signs,diagnosis,depression,Disease,,
sleep_disorder,Signs,diagnosis,depression,Disease,,
irritable,Signs,main_diagnosis,depression,Disease,,
somatic_symptoms,Signs,main_diagnosis,depression,Disease,,
anhedonia,Signs,main_diagnosis,depression,Disease,,
dysphagia,Signs,main_diagnosis,depression,Disease,,
Depression,Signs,main_diagnosis,depression,Disease,,
sleep_disorder,Signs,main_diagnosis,depression,Disease,,
101131744,Patient,Illness,bipolar_disorder,Disease,,
Bad_mood,Symptoms,Corresponds_to,Depression,Signs,,
Excited_and_talkative,Symptoms,Corresponds_to,Emotions_running_high,Signs,,
"Bad_mood,_easy_to_cry",Symptoms,Corresponds_to,Depression,Signs,,
"irritable,_prone_to_losing_temper",Symptoms,Corresponds_to,Irritability,Signs,,
"Dizziness,_headache,_palpitation_and_chest_tightness",Symptoms,Corresponds_to,somatic_symptoms,Signs,,
"Difficulty_falling_asleep,_shallow_sleep,_easy_to_wake_up,_difficulty_falling_asleep_again_after_waking_up",Symptoms,Corresponds_to,sleep_disorder,Signs,,
"Im_not_interested_in_anything,_I_dont_want_to_do_anything",Symptoms,Corresponds_to,anhedonia,Signs,,
Have_you_ever_had_the_thought_of_not_wanting_to_live?,Symptoms,Corresponds_to,suicide,Signs,,
"Talks_a_lot,_talks_fast,_and_buys_a_lot_of_things",Symptoms,Corresponds_to,Emotions_running_high,Signs,,
Euphoria,Symptoms,Corresponds_to,Euphoria,Signs,,
"distraction,_inattention",Symptoms,Corresponds_to,diminished_attention,Signs,,
decreased_interest,Symptoms,Corresponds_to,anhedonia,Signs,,
suicidal_tendencies,Symptoms,Corresponds_to,suicide,Signs,,
Prolonged_and_marked_depression,Symptoms,Corresponds_to,Depression,Signs,,
"Reduced_need_for_sleep,_changes_in_appetite_or_sleep",Symptoms,Corresponds_to,sleep_disorder,Signs,,
"High_mood,_active_and_talkative",Symptoms,Corresponds_to,Emotions_running_high,Signs,,
Changes_in_appetite_or_sleep,Symptoms,Corresponds_to,dysphagia,Signs,,
irritable,Symptoms,Corresponds_to,Irritability,Signs,,
lack_of_interest,Symptoms,Corresponds_to,anhedonia,Signs,,
lack_of_concentration,Symptoms,Corresponds_to,diminished_attention,Signs,,
memory_loss,Symptoms,Corresponds_to,Memory_loss,Signs,,
"Depressed,_depressed_and_talk_less",Symptoms,Corresponds_to,Depression,Signs,,
Unresponsive,Symptoms,Corresponds_to,slow_thinking,Signs,,
Euphoria,Symptoms,Corresponds_to,Euphoria,Signs,,
"High_mood,_quick_thinking,_high_energy",Symptoms,Corresponds_to,Emotions_running_high,Signs,,
"Reckless_behavior,_irritability,_inability_to_control_oneself,_irritability,_and_obvious_aggressive_behavior",Symptoms,Corresponds_to,Irritability,Signs,,
Act_recklessly,Symptoms,Corresponds_to,Impulsive_behavior,Signs,,
Overtly_aggressive_behavior,Symptoms,Corresponds_to,Aggressive_behavior,Signs,,
attempted_suicide_multiple_times,Symptoms,Corresponds_to,suicide,Signs,,
lack_of_interest,Symptoms,Corresponds_to,anhedonia,Signs,,
lack_of_concentration,Symptoms,Corresponds_to,diminished_attention,Signs,,
memory_loss,Symptoms,Corresponds_to,Memory_loss,Signs,,
"Depressed,_depressed_and_talk_less",Symptoms,Corresponds_to,Depression,Signs,,
Unresponsive,Symptoms,Corresponds_to,slow_thinking,Signs,,
Euphoria,Symptoms,Corresponds_to,Euphoria,Signs,,
"High_mood,_quick_thinking,_high_energy",Symptoms,Corresponds_to,Emotions_running_high,Signs,,
"Reckless_behavior,_irritability,_inability_to_control_oneself,_irritability,_and_obvious_aggressive_behavior",Symptoms,Corresponds_to,Irritability,Signs,,
Act_recklessly,Symptoms,Corresponds_to,Impulsive_behavior,Signs,,
Overtly_aggressive_behavior,Symptoms,Corresponds_to,Aggressive_behavior,Signs,,
attempted_suicide_multiple_times,Symptoms,Corresponds_to,suicide,Signs,,
lack_of_interest,Symptoms,Corresponds_to,anhedonia,Signs,,
lack_of_concentration,Symptoms,Corresponds_to,diminished_attention,Signs,,
memory_loss,Symptoms,Corresponds_to,Memory_loss,Signs,,
"Depressed,_depressed_and_talk_less",Symptoms,Corresponds_to,Depression,Signs,,
Unresponsive,Symptoms,Corresponds_to,slow_thinking,Signs,,
Euphoria,Symptoms,Corresponds_to,Euphoria,Signs,,
"High_mood,_quick_thinking,_high_energy",Symptoms,Corresponds_to,Emotions_running_high,Signs,,
"Reckless_behavior,_irritability,_inability_to_control_oneself,_irritability,_and_obvious_aggressive_behavior",Symptoms,Corresponds_to,Irritability,Signs,,
Act_recklessly,Symptoms,Corresponds_to,Impulsive_behavior,Signs,,
Overtly_aggressive_behavior,Symptoms,Corresponds_to,Aggressive_behavior,Signs,,
attempted_suicide_multiple_times,Symptoms,Corresponds_to,suicide,Signs,,
Anxiety_symptoms_secondary_to_his_or_her_depressive_mood,Symptoms,Corresponds_to,Anxiety,Signs,,
Suspicious_auditory_hallucinations,Symptoms,Corresponds_to,Phantom,Signs,,
temporary_relationship_delusions,Symptoms,Corresponds_to,Relationship_delusions,Signs,,
Bad_mood,Symptoms,diagnosis,bipolar_disorder,Disease,,
Excited_and_talkative,Symptoms,diagnosis,bipolar_disorder,Disease,,
"Bad_mood,_easy_to_cry",Symptoms,diagnosis,bipolar_disorder,Disease,,
"irritable,_prone_to_losing_temper",Symptoms,diagnosis,bipolar_disorder,Disease,,
